동영상,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,추정 수익 (USD),노출수,노출 클릭률 (%)
합계,,,980496,73703.4559,1482,3230.456,8024726,8.11
zONfGalNqMY,"에이치엘비, 유상증자 뒤 급등사례 한미약품","Apr 20, 2020",15320,1836.3546,28,48.035,143532,7.51
4mzVtXuq4aQ,"에이치엘비, 임상3상 구두 발표 뉴스기사 나왔습니다. 수익 나는 기업의 모습을 갖춰가고 있습니다. 6월8일 무상증자도 잊지 마세요","May 30, 2020",14020,1209.9933,36,66.799,62307,15.49
Im2tab42mW4,에이치엘비 신주인수권 월요일 '매수/매도/가만히'를 준비하세요. (유상증자청약),"May 9, 2020",12165,1001.1928,32,51.581,85546,8.38
Qg1GIWW5Lbk,에이치엘비 무상증자는 6월4일 매수 후 하룻밤 지나야합니다. 레고켐바이오와 비디아이 무상증자 사례,"Jun 1, 2020",10348,853.0872,16,21.202,66653,10.34
UwNFMx6IRZc,에이치엘비 갭상승 이유는 MSCI 리밸런싱!! 그리고 높아지는 중국비중(ETF) | 청약율107% 성공적. 300억 주담대로 무엇을 할까?,"May 29, 2020",10215,759.6827,12,27.077,47967,15.14
V6yaHfpGjlw,"에이치엘비 진양곤 회장님 인터뷰에는 어떤 새로운 정보들이 있을까요 | 리보세라닙, NDA, 아필리아, 이뮤노믹","Apr 27, 2020",10196,953.4357,15,42.298,71090,10.06
3-jbP0pmtWk,에이치엘비는 6월 27일 이내 폴첸 어드벤첸과 리보세라닙 글로벌권리 인수 본계약 예정입니다. 물질특허와 염조성물특허. Licensor와 Licensee,"Jun 13, 2020",9967,759.5413,16,40.61,40502,15.92
tHO4d8y2h4Y,에이치엘비 시장 하락을 틈타 숏커버링을 시도했는가? 장초반 호재뉴스기사없이 급등한 이유는? | 신라젠 매매거래정지,"May 4, 2020",9560,593.0765,3,38.787,54574,11.5
Te0jqlE2Ip4,"에이치엘비, 유증 다음 무상증자 보너스를 잊으시면 안 됩니다 | 마이너스 금리","May 17, 2020",9359,790.4561,9,36.548,72881,8.76
CjGFHJagvcE,에이치엘비 무상증자는 유상증자 때와는 달랐다. 적어도 하루 기준으로는,"Jun 4, 2020",9318,852.8834,3,41.567,54163,12.17
oVRfHiZ1sN0,에이치엘비 6월말 원천 특허 본계약 체결 즉시 제3자배정 유상증자 공시가 나옵니다.(양수대금 중 60% 출자),"Jun 13, 2020",9204,711.3617,10,37.778,42543,14.14
upBVUpJerJ4,에이치엘비 및 바이오기업들이 기대하던 Best Of ASCO Meeting은 취소되었습니다. 삼성중공업과 삼성중공우,"Jun 8, 2020",9173,590.1362,7,30.655,35934,15.61
lBV4wuthEoE,"에이치엘비 미 학회서 발표, 이번엔 AACR에 에이치엘비 이름이 올라왔습니다","May 3, 2020",8965,617.6122,5,42.802,39464,14.58
XlSKpVWXT94,에이치엘비의 엘리바와 이뮤노믹은 미국법인입니다. USA BIO Conference 6월8일부터 시작입니다.,"Jun 6, 2020",8735,596.013,9,27.125,36176,14.89
McYpDNfaLMA,에이치엘비 투자자별 매매동향이 이상하다?! | 블록딜 전 공매도 | 잘 안 되면 매매를 쉬어야 합니다.,"May 12, 2020",8644,677.1979,4,27.404,48560,12.02
JIM4vpCkmGk,에이치엘비 얼마만에 장대양봉|총선 이후 주가는 오를까 내릴까?,"Apr 14, 2020",8263,764.6311,21,25.577,65212,9.25
RhR-uTiIh40,에이치엘비 주주인 블랙록은 약 1경을 굴리는 세계최대자산운용사. 브릿지바이오테라퓨틱스 임상지연 기술수출파기 루머,"Jun 6, 2020",8132,631.6698,7,32.61,42528,11.73
q2qrwx_lcVA,에이치엘비 드디어 의미있는 수량의 공매도상환이 시작되었습니다. 미국 셰일기업 첫 파산보호 신청,"Apr 2, 2020",8116,843.396,18,27.272,56230,10.4
UdyREx9g3Ks,"에이치엘비의 큰형님, 항서제약은 지금 어디서 뭘하고 있는가? 캄렐리주맙","May 16, 2020",7971,481.2207,10,24.761,41316,10.59
RckEmdgaAuo,에이치엘비 ASCO 아파티닙(리보세라닙) 간세포 2차치료제 임상3상 초록 해석,"May 29, 2020",7740,618.8734,5,34.887,44011,12.48
dn4QcnJdtu8,에이치엘비 유상증자 초과청약(20%)받는 방법 설명부탁드려요~|신주인수권 매도 가능기간 언제였죠?,"Apr 15, 2020",7722,646.0869,30,26.927,91378,6.22
Ivemb2Vz6pk,에이치엘비 상승할 때 공매도잔고는? 제약바이오 뉴스 보는 사이트 소개 | 두산인프라코어 상승 이유는?,"Jun 3, 2020",7714,627.0488,11,24.584,46219,12.09
4lGXqXb_njU,에이치엘비 들썩들썩. 요즘 들어 위로 날카롭게 찌르는 슈팅의 흔적들이 자주 보입니다,"Apr 3, 2020",7706,553.744,31,23.812,58015,8.89
ZS7EN9CW6NM,에이치엘비 이게 머선 일이고ㅋㅋ | 신주인수권 가격과 적정가격 | 공매도 숏커버링?,"May 11, 2020",7665,722.4206,11,23.683,47891,11.11
dr4mWjGt_n8,에이치엘비 오늘도 상승했습니다!! ASCO에서 best 선정될까? 차바이오텍 설거지인가?,"Jun 2, 2020",7554,646.7241,11,30.251,53911,9.64
h5x1D6wqfHA,에이치엘비 주담대 받은 진양곤회장님이 아닌 다른 주체가 넥스트사이언스 BW에 투자했다?!,"Jun 1, 2020",7549,572.1743,14,19.656,47039,10.56
xeZiXkC-KsE,"에이치엘비 어느새 식구가 늘었다. 개미가 많으면 좋을까? 소액주주 증가의 의미, 카이노스메드는 hlb와 비슷한 느낌입니다.","Jun 8, 2020",7460,601.2296,16,33.394,52706,9.76
wQRF-8mnyk4,에이치엘비 전환사채 리픽싱 공시(전환가액의조정),"Mar 18, 2020",7456,606.7486,17,30.285,46674,12.02
TNTAHWyxOoE,에이치엘비 외국인의 강력한 순매수(대량숏커버추정) 일어난 이유는 OO에 있습니다.,"Apr 15, 2020",7424,694.6572,23,28.077,52232,10.92
mAaQnwi9Z0Y,에이치엘비 관련 작전주인가? 제2의 에이치엘비인가? 케이피에스,"May 15, 2020",7344,486.6949,17,21.08,47323,10.04
4rVp3qM8OEU,에이치엘비 100억! 추가상장하는 CB전환물량 분석,"Mar 23, 2020",7272,640.6933,8,23.381,47011,10.53
NU3fccj-lDI,에이치엘비 1차발행가액 확정 | 아필리아 NDA 마일스톤 지급 재원 | 외인수급 | IMF 아시아 성장률 | 총선과 검찰 | 쿠팡,"Apr 16, 2020",7265,639.9789,10,18.576,46170,11.67
VhZJfv9wnyk,에이치엘비의 유상증자 타이밍이 의미하는 것은?,"May 4, 2020",7002,525.5228,6,33.883,47181,9.57
dJz9IcYQLzA,에이치엘비 신주인수권매도 진양곤회장님이 아닙니다 | 뉴욕증시 고평가?,"May 15, 2020",6989,577.4757,6,21.889,41855,10.56
doYX_NBQnmE,에이치엘비 최대 7월 27일까지 어드벤첸 원천특허 본계약 추가연장 가능합니다.,"Jun 13, 2020",6959,478.5609,7,24.462,33111,13.31
QymtF5zjMjI,"에이치엘비, 무상증자하면 주가는 하락할까? 메드팩토사례","Jun 3, 2020",6734,501.9007,4,24.34,52914,8.44
WO15hZTiiQw,에이치엘비 코리아바이오 IR 내용은? | 워런 버핏 8천억원대 사기 당하다 | EBITDA란?,"May 19, 2020",6502,377.9878,4,15.563,34264,12.23
Xhiq51WJS1E,에이치엘비 공매도 상환 확실시 되는 분위기. 한국은행 발권력이 미국에 비해 제한적인 이유,"Apr 6, 2020",6481,505.73,14,21.01,45203,10
OPMKockF0jc,"에이치엘비 지속적으로 대차감소, 공매도잔고감소, 외국인,기관 순매수하는 공매도 상환의 모습입니다.","Apr 3, 2020",6477,577.5438,28,22.068,53537,8.54
ATeiBzGB8Jo,"에이치엘비, 이뮤노믹을 상당히 밀어주는 느낌. 중국주식이 위험한 이유","Apr 5, 2020",6430,461.7312,7,16.807,33253,11.78
ZAglNcovLdY,에이치엘비 최근 느낀점|개인외인수급|뉴스기사|상대적박탈감,"Apr 13, 2020",6397,554.5296,12,18.719,39194,11.53
B3KvcMNKBEc,에이치엘비 드디어 증권사 리포트가 나오기 시작했습니다(한양증권),"Mar 30, 2020",6327,528.2087,14,30.306,53115,8.11
5DqvR9pQAk8,에이치엘비 다음주에 9% 유증신주상장으로 오버행 이슈 있습니다.|바른손 관리종목 지정 위기(4연속영업손실-영업권 전액을 손상차손으로 인식),"Jun 11, 2020",6255,457.1464,8,21.011,39270,10.85
GtDpr4kilnY,한미통화스와프 체결(600억 달러). 환율 1300 가는 줄 알았자너~,"Mar 19, 2020",6224,388.5445,40,17.605,63737,6.49
faVQtXDyh94,"에이치엘비, 세계최대컨퍼런스 바이오USA 작년에는 어땠을까? 나이벡 참가","Jun 7, 2020",6189,458.7167,6,16.272,38033,10.39
w9BWfF4ARRc,셀트리온 오후 3시30분 치료제 개발 간담회,"Mar 23, 2020",6104,257.4252,25,17.945,36715,12.5
J-y6D4bkv5E,"에이치엘비 공매도는 13만원까지 작정하고 숏커버할 생각이었나 봅니다. | 미중 군사 충돌 가능성과 | 레버리지ETF, ETN 예탁금 천만원과 신용금지","May 17, 2020",6066,475.6604,2,17.487,42289,9.15
w3DusvQW1i4,"에이치엘비, ASCO 간 2차치료제 임상3상 리보세라닙(아파티닙)의 부작용은 어떤가?","May 31, 2020",6062,423.7525,10,23.024,43722,10.11
